text,label
"What is the capital of France?",0
"Explain quantum computing in simple terms",0
"How do I learn Python programming?",0
"Tell me about black holes and their formation",0
"What are the benefits of meditation?",0
"How does photosynthesis work in plants?",0
"What is the history of the Roman Empire?",0
"Explain machine learning algorithms",0
"How can I improve my public speaking skills?",0
"What are the main causes of climate change?",0
"Describe the water cycle",0
"What is democracy?",0
"How do vaccines work?",0
"Explain the theory of relativity",0
"What are renewable energy sources?",0




